ID,Prob1
0, 0.35
1, 0.34
2, 0.18
3, 0.17
4, 0.27
5, 0.22
6, 0.25
7, 0.22
8, 0.35
9, 0.34
10, 0.34
11, 0.22
12, 0.18
13, 0.67
14, 0.31
15, 0.49
16, 0.22
17, 0.65
18, 0.19
19, 0.18
20, 0.35
21, 0.34
22, 0.18
23, 0.29
24, 0.23
25, 0.45
26, 0.34
27, 0.22
28, 0.22
29, 0.25
30, 0.27
31, 0.29
32, 0.18
33, 0.34
34, 0.45
35, 0.29
36, 0.22
37, 0.27
38, 0.42
39, 0.22
40, 0.22
41, 0.49
42, 0.18
43, 0.42
44, 0.34
45, 0.27
46, 0.50
47, 0.27
48, 0.45
49, 0.34
50, 0.22
51, 0.25
52, 0.64
53, 0.19
54, 0.27
55, 0.22
56, 0.10
57, 0.27
58, 0.42
59, 0.22
60, 0.18
61, 0.22
62, 0.34
63, 0.36
64, 0.34
65, 0.25
66, 0.35
67, 0.52
68, 0.22
69, 0.67
70, 0.35
71, 0.34
72, 0.27
73, 0.34
74, 0.46
75, 0.29
76, 0.34
77, 0.35
78, 0.45
79, 0.25
80, 0.42
81, 0.48
82, 0.34
83, 0.34
84, 0.25
85, 0.29
86, 0.48
87, 0.48
88, 0.27
89, 0.10
90, 0.25
91, 0.23
92, 0.31
93, 0.65
94, 0.27
95, 0.34
96, 0.08
97, 0.27
98, 0.25
99, 0.35
100, 0.65
101, 0.29
102, 0.25
103, 0.35
104, 0.25
105, 0.48
106, 0.22
107, 0.48
108, 0.49
109, 0.25
110, 0.22
111, 0.34
112, 0.77
113, 0.18
114, 0.35
115, 0.27
116, 0.27
117, 0.48
118, 0.48
119, 0.34
120, 0.48
121, 0.35
122, 0.27
123, 0.34
124, 0.22
125, 0.35
126, 0.49
127, 0.67
128, 0.45
129, 0.61
130, 0.18
131, 0.25
132, 0.29
133, 0.36
134, 0.35
135, 0.48
136, 0.34
137, 0.33
138, 0.18
139, 0.48
140, 0.29
141, 0.22
142, 0.62
143, 0.18
144, 0.45
145, 0.27
146, 0.48
147, 0.34
148, 0.18
149, 0.29
150, 0.31
151, 0.65
152, 0.34
153, 0.35
154, 0.25
155, 0.25
156, 0.25
157, 0.29
158, 0.31
159, 0.49
160, 0.64
161, 0.22
162, 0.31
163, 0.37
164, 0.65
165, 0.18
166, 0.25
167, 0.18
168, 0.27
169, 0.25
170, 0.48
171, 0.35
172, 0.35
173, 0.29
174, 0.31
175, 0.35
176, 0.65
177, 0.18
178, 0.34
179, 0.27
180, 0.67
181, 0.23
182, 0.40
183, 0.22
184, 0.31
185, 0.35
186, 0.29
187, 0.25
188, 0.31
189, 0.22
190, 0.18
191, 0.65
192, 0.31
193, 0.49
194, 0.25
195, 0.29
196, 0.27
197, 0.34
198, 0.65
199, 0.33
200, 0.18
201, 0.34
202, 0.17
203, 0.50
204, 0.18
205, 0.18
206, 0.18
207, 0.22
208, 0.31
